mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size_rel
0.5480119625126837,0.015551615496130511,0.12470611651450987,0.3537019834689084,256,16,16,2,perlin_HF,perlin,32,32.0
0.5771282146856984,0.023662944240299633,0.15382764459062498,0.9894736317919716,262144,512,512,3,perlin_HF,perlin,1,1.0
0.5771282146856984,0.02342077986863414,0.1530384914609202,0.9742570603208713,65536,256,256,3,perlin_HF,perlin,2,2.0
0.5771282146856984,0.022842647970056057,0.1511378442682575,0.9360732828760565,16384,128,128,3,perlin_HF,perlin,4,4.0
0.5771282146856984,0.021511329480178185,0.14666741110477877,0.845593736221654,4096,64,64,3,perlin_HF,perlin,8,8.0
0.5771282146856984,0.01851485899327757,0.13606931686929852,0.6577457945411618,1024,32,32,3,perlin_HF,perlin,16,16.0
0.5771282146856984,0.012798337688805554,0.11312973830432718,0.32740647082227586,256,16,16,3,perlin_HF,perlin,32,32.0
0.5711622185037669,0.025567457795817816,0.1598982732734091,0.9897821545327606,262144,512,512,4,perlin_HF,perlin,1,1.0
0.5711622185037668,0.02532003559734264,0.15912270610237447,0.9750090962412183,65536,256,256,4,perlin_HF,perlin,2,2.0
0.5711622185037668,0.024722421979189536,0.15723365409221252,0.937113836577826,16384,128,128,4,perlin_HF,perlin,4,4.0
0.5711622185037668,0.023316832093874404,0.15269850062746002,0.8455110421732749,4096,64,64,4,perlin_HF,perlin,8,8.0
0.5711622185037668,0.020003874543290327,0.14143505415309998,0.6431672173149553,1024,32,32,4,perlin_HF,perlin,16,16.0
0.5711622185037668,0.013562635600021553,0.11645872917055876,0.27710008660189833,256,16,16,4,perlin_HF,perlin,32,32.0
0.5557324513307076,0.02817762634190542,0.1678619264214057,0.9900980674213844,262144,512,512,5,perlin_HF,perlin,1,1.0
0.5557324513307074,0.027902373682464558,0.16704003616637705,0.9755810357203237,65536,256,256,5,perlin_HF,perlin,2,2.0
0.5557324513307074,0.027243753858987172,0.165056820092316,0.9384301872733463,16384,128,128,5,perlin_HF,perlin,4,4.0
0.5557324513307074,0.025693257833684056,0.1602911658005021,0.8508949918326627,4096,64,64,5,perlin_HF,perlin,8,8.0
0.5557324513307074,0.02225387095156576,0.14917731379658825,0.654959578403151,1024,32,32,5,perlin_HF,perlin,16,16.0
0.5557324513307074,0.01590520459310389,0.12611583799469395,0.2896453770730189,256,16,16,5,perlin_HF,perlin,32,32.0
0.5696025176266784,0.025059437091343863,0.15830172801123765,0.9910704284682978,262144,512,512,6,perlin_HF,perlin,1,1.0
0.5696025176266782,0.024833661633920336,0.15758699703313195,0.9778507206621792,65536,256,256,6,perlin_HF,perlin,2,2.0
0.5696025176266782,0.024294415563233588,0.15586665956269669,0.9438068549968545,16384,128,128,6,perlin_HF,perlin,4,4.0
0.5696025176266781,0.023011392111851534,0.15169506291192056,0.8631002800516681,4096,64,64,6,perlin_HF,perlin,8,8.0
0.5696025176266782,0.020141259654092147,0.14191990577115018,0.6877547266405106,1024,32,32,6,perlin_HF,perlin,16,16.0
0.5696025176266782,0.014705007456037736,0.12126420517216834,0.3511980106031823,256,16,16,6,perlin_HF,perlin,32,32.0
0.561746714979534,0.026294151102558207,0.16215471347622987,0.9900332820780466,262144,512,512,7,perlin_HF,perlin,1,1.0
0.561746714979534,0.02603259641492339,0.1613462004973262,0.9754984685256863,65536,256,256,7,perlin_HF,perlin,2,2.0
0.5617467149795341,0.02542407384983244,0.15944928300193903,0.9379475798617742,16384,128,128,7,perlin_HF,perlin,4,4.0
0.561746714979534,0.02398656446879882,0.15487596478730592,0.8476283584315933,4096,64,64,7,perlin_HF,perlin,8,8.0
0.561746714979534,0.020681656490086655,0.14381118346667848,0.643880283205542,1024,32,32,7,perlin_HF,perlin,16,16.0
0.561746714979534,0.01434071732584006,0.11975273410590699,0.24436363334627728,256,16,16,7,perlin_HF,perlin,32,32.0
0.5922328256211223,0.020230646140963177,0.14223447592255253,0.989462758603039,262144,512,512,8,perlin_HF,perlin,1,1.0
0.5922328256211226,0.020027435201363412,0.14151832108021709,0.9738336398558595,65536,256,256,8,perlin_HF,perlin,2,2.0
0.5922328256211224,0.019544354410769585,0.13980112449751464,0.9333552391785228,16384,128,128,8,perlin_HF,perlin,4,4.0
0.5922328256211224,0.018362516618707754,0.13550836364855032,0.8349637239314153,4096,64,64,8,perlin_HF,perlin,8,8.0
0.5922328256211224,0.015670338402822136,0.1251812222452798,0.6171954941441129,1024,32,32,8,perlin_HF,perlin,16,16.0
0.5922328256211224,0.010704881096087627,0.10346439530624836,0.21783038617111533,256,16,16,8,perlin_HF,perlin,32,32.0
0.5887485902341574,0.021985665083070375,0.14827563887257533,0.9908343770700317,262144,512,512,9,perlin_HF,perlin,1,1.0
0.5887485902341573,0.021785527407377093,0.14759921208250773,0.9770124895668167,65536,256,256,9,perlin_HF,perlin,2,2.0
0.5887485902341574,0.021293212072319767,0.14592193828317854,0.9415660382758679,16384,128,128,9,perlin_HF,perlin,4,4.0
0.5887485902341574,0.020139058494600456,0.1419121506235476,0.8546878180218993,4096,64,64,9,perlin_HF,perlin,8,8.0
0.5887485902341574,0.017387159499069115,0.13186037880678605,0.6682706022037249,1024,32,32,9,perlin_HF,perlin,16,16.0
0.5887485902341574,0.011781215273597682,0.1085413067619774,0.3429515855862422,256,16,16,9,perlin_HF,perlin,32,32.0
0.7567811543650815,0.0006856450981827971,0.026184825723743074,0.9587033854465402,262144,512,512,0,cluster_nn,cluster,1,1.0
0.7567811543650818,0.0006619251288297837,0.025727905644062514,0.9650829411205792,65536,256,256,0,cluster_nn,cluster,2,2.0
0.7567811543650818,0.0006404380698914816,0.025306877916714293,0.9708398704731935,16384,128,128,0,cluster_nn,cluster,4,4.0
0.7567811543650818,0.0006242739346829009,0.024985474473839815,0.9383378506540149,4096,64,64,0,cluster_nn,cluster,8,8.0
0.7567811543650818,0.0005861804210590243,0.02421116314965112,0.8101878580769999,1024,32,32,0,cluster_nn,cluster,16,16.0
